line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0052,64,94,66,55.246,False,"[[269.52, 557.64], [272.76, 563.4], [274.08, 570.48], [273.48, 579.48], [274.8, 584.04], [275.4, 589.2], [275.382, 589.902], [275.364, 590.604], [275.346, 591.306], [275.328, 592.008], [275.31, 592.71], [275.292, 593.412], [275.274, 594.114], [275.256, 594.816], [275.238, 595.518], [275.22, 596.22], [275.202, 596.922], [275.184, 597.624], [275.166, 598.326], [275.148, 599.028], [275.13, 599.73], [275.112, 600.432], [275.094, 601.134], [275.076, 601.836], [275.058, 602.538], [275.04, 603.24], [278.4, 608.16], [277.2, 610.32]]",actual
234A,64,75,66,72.333,False,"[[286.92, 627.72], [289.92, 628.68], [290.043, 628.903], [290.159, 629.139], [290.269, 629.386], [290.374, 629.643], [290.475, 629.908], [290.572, 630.18], [290.667, 630.457], [290.759, 630.738], [290.85, 631.021], [290.94, 631.305], [291.03, 631.588], [291.121, 631.868], [291.213, 632.145], [291.308, 632.415], [291.405, 632.679], [291.506, 632.935], [291.611, 633.18], [291.721, 633.414], [291.837, 633.634], [291.96, 633.84], [298.44, 635.16], [304.92, 632.52], [320.16, 636.48], [345.84, 641.64], [353.76, 640.08]]",actual
L0053,64,98,66,36.483,False,"[[261.72, 577.2], [261.702, 578.85], [261.684, 580.554], [261.666, 582.308], [261.647, 584.104], [261.628, 585.938], [261.609, 587.801], [261.589, 589.69], [261.568, 591.596], [261.547, 593.515], [261.525, 595.44], [261.502, 597.365], [261.478, 599.284], [261.453, 601.19], [261.427, 603.079], [261.399, 604.942], [261.371, 606.776], [261.34, 608.572], [261.309, 610.326], [261.275, 612.03], [261.24, 613.68]]",actual
L0054,64,99,66,18.529,False,"[[286.32, 623.04], [283.8, 630.0], [281.04, 630.0], [280.895, 630.156], [280.714, 630.366], [280.501, 630.625], [280.26, 630.927], [279.996, 631.266], [279.711, 631.634], [279.409, 632.026], [279.095, 632.436], [278.772, 632.858], [278.445, 633.285], [278.117, 633.711], [277.791, 634.13], [277.473, 634.536], [277.165, 634.922], [276.872, 635.282], [276.597, 635.61], [276.345, 635.9], [276.118, 636.146], [275.922, 636.342], [275.76, 636.48]]",actual
232G,64,162,66,17.775,False,"[[279.24, 613.44], [287.76, 597.84]]",actual
L0055,65,66,66,11.582,False,"[[380.52, 615.0], [390.12, 608.52]]",actual
L0056,65,110,66,32.026,False,"[[366.0, 621.6], [381.36, 624.36], [389.28, 629.28], [396.0, 627.0]]",actual
L0057,67,68,66,11.17,False,"[[380.52, 592.92], [381.0, 604.08]]",actual
L0058,68,74,66,34.429,False,"[[349.68, 580.56], [357.6, 584.76], [362.16, 585.12], [366.12, 588.84], [374.88, 589.68], [380.76, 592.8]]",actual
2102,70,71,66,17.894,False,"[[407.52, 323.64], [414.84, 327.0], [424.68, 327.0]]",actual
L0059,70,227,33,19.487,False,"[[414.84, 324.72], [416.28, 321.24], [422.64, 320.52], [425.16, 313.44], [425.281, 313.439], [425.392, 313.437], [425.494, 313.433], [425.589, 313.428], [425.678, 313.421], [425.76, 313.414], [425.839, 313.406], [425.915, 313.398], [425.988, 313.389], [426.06, 313.38], [426.132, 313.371], [426.205, 313.362], [426.281, 313.354], [426.36, 313.346], [426.442, 313.339], [426.531, 313.332], [426.626, 313.327], [426.728, 313.323], [426.839, 313.321], [426.96, 313.32]]",actual
223A,73,74,66,81.248,False,"[[352.44, 521.88], [364.08, 523.44], [361.56, 545.52], [364.08, 566.64], [367.92, 576.84], [353.16, 580.08]]",actual
L0060,74,75,66,53.233,False,"[[350.04, 584.88], [352.8, 589.32], [353.28, 623.4], [353.52, 637.32]]",actual
234D,75,76,66,62.04,False,"[[355.44, 639.84], [417.48, 639.84]]",actual
L0061,75,77,66,29.831,False,"[[354.12, 638.28], [352.8, 650.52], [359.76, 650.52], [359.76, 656.16], [364.68, 656.16]]",actual
L0062,75,90,66,46.13,False,"[[307.68, 627.12], [352.8, 636.72]]",actual
L0063,77,79,66,84.511,False,"[[369.96, 703.68], [357.36, 703.8], [354.0, 682.32], [348.24, 680.16], [351.96, 672.48], [351.888, 672.138], [351.816, 671.796], [351.744, 671.454], [351.672, 671.112], [351.6, 670.77], [351.528, 670.428], [351.456, 670.086], [351.384, 669.744], [351.312, 669.402], [351.24, 669.06], [351.168, 668.718], [351.096, 668.376], [351.024, 668.034], [350.952, 667.692], [350.88, 667.35], [350.808, 667.008], [350.736, 666.666], [350.664, 666.324], [350.592, 665.982], [350.52, 665.64], [350.611, 665.046], [350.703, 664.452], [350.798, 663.858], [350.893, 663.263], [350.991, 662.668], [351.089, 662.073], [351.189, 661.477], [351.29, 660.88], [351.392, 660.283], [351.495, 659.685], [351.599, 659.086], [351.704, 658.486], [351.809, 657.885], [351.915, 657.283], [352.022, 656.679], [352.129, 656.075], [352.236, 655.468], [352.344, 654.861], [352.452, 654.251], [352.56, 653.64], [356.4, 653.76], [356.4, 658.68], [363.96, 658.68]]",actual
L0064,78,79,66,88.138,False,"[[334.44, 771.12], [328.2, 763.08], [335.16, 752.16], [343.32, 739.08], [350.64, 725.88], [351.6, 724.08], [356.76, 720.12], [358.92, 714.24], [358.08, 706.92], [370.32, 705.48]]",actual
L0065,79,222,33,21.524,False,"[[370.56, 707.04], [370.56, 711.72], [375.0, 713.04], [375.72, 715.8], [375.72, 725.16]]",actual
