line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0027,21,161,66,49.906,False,"[[358.08, 278.16], [364.8, 276.24], [365.179, 276.208], [365.493, 276.182], [365.752, 276.162], [365.965, 276.148], [366.142, 276.139], [366.293, 276.134], [366.425, 276.134], [366.549, 276.136], [366.674, 276.142], [366.81, 276.15], [366.965, 276.16], [367.15, 276.171], [367.373, 276.183], [367.644, 276.195], [367.972, 276.206], [368.367, 276.217], [368.838, 276.226], [369.394, 276.234], [370.045, 276.238], [370.8, 276.24], [378.48, 281.4], [396.36, 280.56], [403.32, 273.72]]",actual
L0028,21,25,66,22.866,False,"[[353.52, 279.48], [346.08, 280.92], [341.28, 274.56], [342.6, 267.36]]",actual
L0029,22,23,66,29.795,False,"[[339.6, 201.84], [339.428, 200.959], [339.236, 200.079], [339.027, 199.201], [338.802, 198.325], [338.565, 197.449], [338.317, 196.574], [338.06, 195.7], [337.797, 194.826], [337.53, 193.953], [337.26, 193.08], [336.99, 192.207], [336.723, 191.334], [336.46, 190.46], [336.203, 189.586], [335.955, 188.711], [335.718, 187.836], [335.493, 186.959], [335.284, 186.081], [335.092, 185.201], [334.92, 184.32], [323.28, 184.8]]",actual
L0030,22,23,66,13.22,False,"[[337.08, 193.68], [336.43, 193.724], [335.777, 193.748], [335.121, 193.755], [334.463, 193.746], [333.802, 193.725], [333.14, 193.693], [332.476, 193.652], [331.812, 193.605], [331.146, 193.554], [330.48, 193.5], [329.814, 193.446], [329.148, 193.395], [328.484, 193.348], [327.82, 193.307], [327.157, 193.275], [326.497, 193.254], [325.839, 193.245], [325.183, 193.252], [324.53, 193.276], [323.88, 193.32]]",actual
L0031,22,146,66,17.88,False,"[[322.2, 203.28], [340.08, 203.28]]",actual
L0032,24,25,66,81.126,False,"[[347.76, 189.72], [340.2, 203.16], [346.68, 218.76], [341.88, 254.76], [345.36, 266.76]]",actual
L0033,24,169,66,29.506,False,"[[348.6, 185.4], [352.68, 178.2], [349.68, 165.48], [349.663, 165.067], [349.647, 164.655], [349.634, 164.245], [349.621, 163.836], [349.611, 163.429], [349.601, 163.022], [349.593, 162.616], [349.586, 162.21], [349.58, 161.805], [349.575, 161.4], [349.571, 160.995], [349.568, 160.59], [349.565, 160.184], [349.563, 159.778], [349.562, 159.371], [349.561, 158.964], [349.56, 158.555], [349.56, 158.145], [349.56, 157.733], [349.56, 157.32]]",actual
L0034,25,36,66,35.03,False,"[[345.6, 266.76], [348.84, 250.2], [352.2, 241.32], [360.72, 242.88]]",actual
L0035,25,37,66,17.936,False,"[[326.76, 270.36], [344.28, 266.52]]",actual
L0036,25,39,66,73.103,False,"[[348.48, 268.32], [358.32, 282.0], [353.88, 297.0], [354.84, 306.84], [360.96, 324.12], [369.84, 332.76]]",actual
