line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0021,27,28,66,24.726,False,"[[585.48, 977.041], [577.8, 981.841], [577.92, 987.601], [578.373, 987.745], [578.833, 987.889], [579.299, 988.033], [579.77, 988.177], [580.245, 988.321], [580.724, 988.465], [581.205, 988.609], [581.689, 988.753], [582.174, 988.897], [582.66, 989.041], [583.146, 989.185], [583.631, 989.329], [584.115, 989.473], [584.596, 989.617], [585.075, 989.761], [585.55, 989.905], [586.021, 990.049], [586.487, 990.193], [586.946, 990.337], [587.4, 990.481]]",actual,5.4397,0.003746,0.047829,0.00064925,50.0,
L0022,27,52,66,11.753,False,"[[577.08, 964.681], [582.24, 975.241]]",actual,2.5857,0.001781,0.022734,0.00030861,50.0,
293A,27,108,66,26.989,False,"[[584.88, 977.281], [595.92, 974.281], [595.742, 974.298], [595.708, 974.314], [595.81, 974.327], [596.041, 974.34], [596.392, 974.35], [596.857, 974.36], [597.428, 974.368], [598.097, 974.375], [598.857, 974.381], [599.7, 974.386], [600.619, 974.39], [601.605, 974.393], [602.652, 974.396], [603.752, 974.398], [604.897, 974.399], [606.081, 974.4], [607.294, 974.401], [608.53, 974.401], [609.781, 974.401], [611.04, 974.401]]",actual,5.9376,0.004089,0.052206,0.00070868,50.0,
L0023,27,59,66,39.173,False,"[[581.88, 975.241], [574.08, 979.681], [572.76, 986.641], [564.96, 985.801], [556.68, 988.441], [558.36, 994.801]]",actual,8.6181,0.005935,0.075774,0.0010286,50.0,
292J,30,31,66,33.615,False,"[[644.88, 844.68], [629.4, 852.12], [629.4, 868.56]]",actual,7.3953,0.005093,0.065023,0.00088266,50.0,
L0024,31,32,66,129.387,False,"[[528.36, 836.64], [521.04, 840.48], [520.985, 840.68], [520.929, 840.883], [520.87, 841.089], [520.811, 841.297], [520.749, 841.508], [520.687, 841.72], [520.623, 841.934], [520.558, 842.148], [520.492, 842.364], [520.425, 842.58], [520.357, 842.796], [520.288, 843.012], [520.219, 843.226], [520.149, 843.44], [520.078, 843.652], [520.007, 843.863], [519.936, 844.071], [519.864, 844.277], [519.792, 844.48], [519.72, 844.68], [526.44, 846.6], [545.16, 845.88], [557.88, 855.96], [573.12, 862.32], [588.84, 859.2], [604.56, 864.72], [617.28, 867.72], [629.76, 868.32]]",actual,28.4651,0.019604,0.250279,0.00339744,50.0,
292G,31,51,66,65.631,False,"[[632.64, 869.16], [632.571, 869.622], [632.509, 870.073], [632.453, 870.513], [632.401, 870.945], [632.353, 871.369], [632.308, 871.787], [632.266, 872.199], [632.225, 872.608], [632.185, 873.015], [632.145, 873.42], [632.104, 873.825], [632.061, 874.232], [632.016, 874.641], [631.967, 875.053], [631.914, 875.471], [631.857, 875.895], [631.793, 876.327], [631.723, 876.768], [631.646, 877.218], [631.56, 877.68], [631.541, 878.059], [631.521, 878.439], [631.499, 878.821], [631.476, 879.204], [631.451, 879.589], [631.426, 879.974], [631.4, 880.36], [631.374, 880.746], [631.347, 881.133], [631.32, 881.52], [631.293, 881.907], [631.266, 882.294], [631.24, 882.68], [631.214, 883.066], [631.189, 883.451], [631.164, 883.836], [631.141, 884.219], [631.119, 884.601], [631.099, 884.981], [631.08, 885.36], [625.2, 891.84], [599.88, 894.36], [591.12, 906.72]]",actual,14.4388,0.009944,0.126953,0.00172334,50.0,
L0025,32,123,66,118.304,False,"[[428.52, 808.8], [428.502, 809.231], [428.484, 809.661], [428.466, 810.088], [428.448, 810.515], [428.43, 810.939], [428.412, 811.363], [428.394, 811.785], [428.376, 812.206], [428.358, 812.626], [428.34, 813.045], [428.322, 813.463], [428.304, 813.88], [428.286, 814.297], [428.268, 814.713], [428.25, 815.128], [428.232, 815.543], [428.214, 815.958], [428.196, 816.372], [428.178, 816.786], [428.16, 817.2], [443.04, 820.8], [449.52, 816.84], [490.8, 833.04], [500.16, 838.92], [514.92, 843.12], [518.16, 836.64], [526.56, 833.4]]",actual,26.0269,0.017925,0.228841,0.00310642,50.0,
L0026,32,233,33,41.97,False,"[[534.84, 807.84], [539.04, 808.56], [543.72, 808.56], [542.4, 811.92], [540.36, 820.56], [533.52, 827.16], [525.96, 835.2]]",actual,9.2334,0.048075,0.330673,0.00030166,20.0,
L0027,33,34,66,71.58,False,"[[562.08, 187.44], [581.76, 222.6], [590.64, 252.6]]",actual,15.7476,0.010845,0.13846,0.00187955,50.0,
