line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0044,22,23,66,76.633,False,"[[114.6, 788.28], [114.564, 789.395], [114.528, 790.509], [114.492, 791.621], [114.455, 792.732], [114.418, 793.841], [114.381, 794.95], [114.343, 796.058], [114.304, 797.166], [114.265, 798.273], [114.225, 799.38], [114.184, 800.487], [114.142, 801.594], [114.099, 802.702], [114.055, 803.81], [114.009, 804.919], [113.963, 806.028], [113.914, 807.139], [113.865, 808.251], [113.813, 809.365], [113.76, 810.48], [133.68, 861.12]]",actual,17.6256,0.012139,0.154972,0.00210369,50.0,
L0045,23,180,66,46.834,False,"[[148.44, 904.08], [141.48, 865.68], [136.08, 860.04]]",actual,10.7718,0.007419,0.094711,0.00128566,50.0,
L0046,23,180,66,46.391,False,"[[144.12, 905.16], [136.68, 866.76], [135.0, 859.68]]",actual,10.6699,0.007348,0.093815,0.0012735,50.0,
L0047,23,180,66,46.477,False,"[[139.44, 905.28], [132.0, 867.12], [134.76, 860.04]]",actual,10.6897,0.007362,0.093989,0.00127586,50.0,
L0048,23,181,66,74.629,False,"[[61.68, 873.24], [73.8, 869.4], [124.44, 868.32], [133.2, 861.24]]",actual,17.1647,0.011821,0.15092,0.00204868,50.0,
L0049,23,182,66,74.727,False,"[[92.88, 821.16], [97.8, 814.8], [102.0, 815.28], [101.999, 816.146], [101.997, 817.015], [101.993, 817.887], [101.988, 818.761], [101.981, 819.638], [101.974, 820.516], [101.966, 821.396], [101.958, 822.277], [101.949, 823.158], [101.94, 824.04], [101.931, 824.922], [101.922, 825.804], [101.914, 826.684], [101.906, 827.564], [101.899, 828.443], [101.892, 829.319], [101.887, 830.193], [101.883, 831.065], [101.881, 831.934], [101.88, 832.8], [127.2, 859.8], [135.12, 860.04]]",actual,17.1872,0.011837,0.151118,0.00205137,50.0,
L0050,23,183,66,66.69,False,"[[63.72, 859.08], [73.32, 862.8], [83.52, 861.96], [96.12, 862.68], [125.28, 863.4], [125.406, 863.22], [125.532, 863.04], [125.658, 862.86], [125.785, 862.681], [125.912, 862.502], [126.039, 862.323], [126.167, 862.145], [126.296, 861.968], [126.425, 861.791], [126.555, 861.615], [126.686, 861.44], [126.818, 861.266], [126.951, 861.093], [127.085, 860.921], [127.221, 860.751], [127.357, 860.581], [127.496, 860.414], [127.635, 860.248], [127.777, 860.083], [127.92, 859.92]]",actual,15.3387,0.010564,0.134865,0.00183074,50.0,
L0051,23,171,66,79.822,False,"[[98.64, 799.56], [98.605, 800.064], [98.571, 800.568], [98.54, 801.072], [98.509, 801.576], [98.481, 802.08], [98.453, 802.584], [98.427, 803.088], [98.402, 803.592], [98.378, 804.096], [98.355, 804.6], [98.333, 805.104], [98.312, 805.608], [98.291, 806.112], [98.271, 806.616], [98.252, 807.12], [98.233, 807.624], [98.214, 808.128], [98.196, 808.632], [98.178, 809.136], [98.16, 809.64], [109.32, 810.36], [117.24, 840.6], [129.12, 858.12], [134.64, 860.76]]",actual,18.3591,0.012644,0.161421,0.00219123,50.0,
L0052,23,175,66,50.572,False,"[[125.04, 811.2], [125.005, 811.955], [124.971, 812.709], [124.94, 813.461], [124.909, 814.212], [124.881, 814.961], [124.853, 815.71], [124.827, 816.458], [124.802, 817.206], [124.778, 817.953], [124.755, 818.7], [124.733, 819.447], [124.712, 820.194], [124.691, 820.942], [124.671, 821.69], [124.652, 822.439], [124.633, 823.188], [124.614, 823.939], [124.596, 824.691], [124.578, 825.445], [124.56, 826.2], [135.12, 860.16]]",actual,11.6316,0.008011,0.10227,0.00138828,50.0,
L0053,23,169,66,108.928,False,"[[180.36, 771.48], [183.84, 776.76], [181.44, 779.04], [183.96, 781.68], [169.8, 793.44], [156.36, 811.2], [156.386, 811.394], [156.426, 811.614], [156.48, 811.857], [156.544, 812.12], [156.619, 812.4], [156.701, 812.695], [156.79, 813.001], [156.884, 813.316], [156.981, 813.636], [157.08, 813.96], [157.179, 814.284], [157.276, 814.604], [157.37, 814.919], [157.459, 815.225], [157.541, 815.52], [157.616, 815.8], [157.68, 816.063], [157.734, 816.306], [157.774, 816.526], [157.8, 816.72], [156.72, 827.04], [140.28, 847.2], [136.32, 859.44]]",actual,25.0534,0.017254,0.220282,0.00299024,50.0,
