line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0026,22,65,66,58.97,False,"[[358.68, 797.52], [359.4, 836.4], [356.04, 856.2]]",actual,11.2043,0.007716,0.098513,0.00133728,50.0,
L0027,23,34,66,39.475,False,"[[242.04, 797.28], [230.88, 797.16], [231.0, 781.08], [230.988, 781.006], [230.988, 780.929], [230.997, 780.849], [231.016, 780.767], [231.043, 780.682], [231.077, 780.596], [231.116, 780.508], [231.159, 780.42], [231.206, 780.33], [231.255, 780.24], [231.305, 780.15], [231.354, 780.06], [231.402, 779.972], [231.448, 779.884], [231.489, 779.798], [231.526, 779.713], [231.557, 779.631], [231.58, 779.551], [231.595, 779.474], [231.6, 779.4], [223.08, 773.4]]",actual,7.5003,0.005165,0.065946,0.00089519,50.0,
313E,24,25,66,160.301,False,"[[425.76, 243.96], [420.24, 239.64], [420.005, 239.011], [419.769, 238.383], [419.531, 237.757], [419.292, 237.132], [419.051, 236.509], [418.81, 235.886], [418.568, 235.264], [418.326, 234.642], [418.083, 234.021], [417.84, 233.4], [417.597, 232.779], [417.354, 232.158], [417.112, 231.536], [416.87, 230.914], [416.629, 230.291], [416.388, 229.668], [416.149, 229.043], [415.911, 228.417], [415.675, 227.789], [415.44, 227.16], [464.28, 211.08], [473.64, 210.72], [488.52, 212.28], [498.12, 229.08], [512.28, 237.0], [525.36, 238.2], [532.68, 236.4], [532.782, 236.026], [532.907, 235.657], [533.052, 235.295], [533.215, 234.938], [533.392, 234.585], [533.583, 234.236], [533.783, 233.889], [533.991, 233.545], [534.204, 233.202], [534.42, 232.86], [534.636, 232.518], [534.849, 232.175], [535.057, 231.831], [535.257, 231.484], [535.447, 231.135], [535.625, 230.782], [535.788, 230.425], [535.933, 230.063], [536.058, 229.695], [536.16, 229.32]]",actual,30.4572,0.020976,0.267794,0.0036352,50.0,
313M,24,28,66,71.988,False,"[[427.44, 243.48], [422.76, 248.28], [432.6, 264.48], [431.16, 275.28], [419.4, 292.44], [415.8, 299.52], [416.138, 299.677], [416.467, 299.824], [416.79, 299.962], [417.106, 300.092], [417.416, 300.216], [417.722, 300.333], [418.025, 300.446], [418.325, 300.555], [418.623, 300.661], [418.92, 300.765], [419.217, 300.868], [419.515, 300.972], [419.815, 301.076], [420.118, 301.182], [420.424, 301.292], [420.734, 301.405], [421.05, 301.524], [421.373, 301.649], [421.702, 301.78], [422.04, 301.92]]",actual,13.6777,0.00942,0.120261,0.0016325,50.0,
L0028,25,39,66,45.043,False,"[[537.72, 230.4], [546.24, 260.04], [546.263, 260.62], [546.296, 261.24], [546.338, 261.896], [546.387, 262.584], [546.442, 263.299], [546.504, 264.036], [546.569, 264.791], [546.637, 265.56], [546.708, 266.338], [546.78, 267.12], [546.852, 267.902], [546.923, 268.68], [546.991, 269.449], [547.056, 270.204], [547.118, 270.941], [547.173, 271.656], [547.222, 272.344], [547.264, 273.0], [547.297, 273.62], [547.32, 274.2]]",actual,8.5582,0.005894,0.075247,0.00102146,50.0,
L0029,26,27,66,27.009,False,"[[138.6, 535.92], [135.96, 509.04]]",actual,5.1317,0.003534,0.04512,0.00061249,50.0,
L0030,26,126,66,16.211,False,"[[148.92, 521.88], [148.32, 538.08]]",actual,3.0801,0.002121,0.027082,0.00036762,50.0,
L0031,28,74,66,115.82,False,"[[421.68, 304.08], [414.84, 304.44], [415.92, 312.84], [434.64, 319.92], [452.76, 362.28], [473.4, 378.24], [473.468, 377.719], [473.53, 377.234], [473.586, 376.78], [473.637, 376.354], [473.683, 375.951], [473.725, 375.567], [473.764, 375.199], [473.799, 374.842], [473.833, 374.492], [473.865, 374.145], [473.896, 373.797], [473.927, 373.445], [473.958, 373.083], [473.991, 372.709], [474.024, 372.317], [474.06, 371.904], [474.099, 371.466], [474.142, 370.999], [474.189, 370.498], [474.24, 369.96]]",actual,22.0058,0.015156,0.193485,0.00262649,50.0,
351B,29,30,66,22.595,False,"[[358.2, 564.36], [380.64, 561.72]]",actual,4.2931,0.002957,0.037747,0.00051239,50.0,
L0032,29,193,66,24.874,False,"[[340.08, 582.84], [357.12, 564.72]]",actual,4.7261,0.003255,0.041554,0.00056408,50.0,
