line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0035,32,69,66,85.504,False,"[[248.4, 193.68], [257.4, 200.04], [264.12, 216.0], [275.64, 220.8], [284.16, 231.72], [291.96, 240.48], [292.8, 249.72], [283.44, 246.72]]",actual
321H,33,75,66,76.893,False,"[[376.56, 247.32], [366.6, 251.52], [366.473, 251.008], [366.345, 250.513], [366.215, 250.034], [366.084, 249.569], [365.951, 249.116], [365.818, 248.673], [365.684, 248.238], [365.55, 247.809], [365.415, 247.383], [365.28, 246.96], [365.145, 246.537], [365.01, 246.111], [364.876, 245.682], [364.742, 245.247], [364.609, 244.804], [364.476, 244.351], [364.345, 243.886], [364.215, 243.407], [364.087, 242.912], [363.96, 242.4], [388.92, 241.68], [406.92, 230.76], [416.76, 226.92]]",actual
383A,35,66,66,40.085,False,"[[469.56, 814.44], [476.16, 822.96], [491.52, 831.96], [497.28, 841.92]]",actual
L0036,36,37,66,15.612,False,"[[417.0, 605.16], [417.004, 605.772], [417.017, 606.485], [417.036, 607.283], [417.062, 608.153], [417.094, 609.083], [417.13, 610.057], [417.169, 611.062], [417.211, 612.085], [417.255, 613.113], [417.3, 614.13], [417.345, 615.124], [417.389, 616.081], [417.431, 616.987], [417.47, 617.829], [417.506, 618.593], [417.538, 619.264], [417.564, 619.831], [417.583, 620.278], [417.596, 620.592], [417.6, 620.76]]",actual
311A,38,39,66,94.849,False,"[[544.8, 195.24], [550.8, 207.12], [563.4, 210.36], [560.04, 228.48], [558.36, 242.64], [557.76, 264.0], [546.72, 273.36]]",actual
312A,39,56,66,113.543,False,"[[549.12, 274.56], [564.84, 267.84], [576.36, 271.2], [595.2, 270.96], [639.36, 240.36], [651.24, 240.36]]",actual
313G,41,42,66,44.473,False,"[[451.56, 170.4], [449.76, 178.44], [451.08, 185.16], [455.88, 190.2], [459.72, 203.64], [460.008, 204.27], [460.261, 204.834], [460.484, 205.337], [460.679, 205.788], [460.851, 206.192], [461.002, 206.557], [461.137, 206.89], [461.258, 207.198], [461.37, 207.487], [461.475, 207.765], [461.578, 208.038], [461.681, 208.314], [461.789, 208.599], [461.905, 208.901], [462.032, 209.226], [462.174, 209.58], [462.334, 209.972], [462.516, 210.408], [462.724, 210.895], [462.96, 211.44]]",actual
L0037,43,44,66,26.413,False,"[[646.68, 362.52], [671.64, 371.16]]",actual
L0038,45,46,66,46.071,False,"[[476.88, 392.4], [504.36, 378.96], [519.84, 378.96]]",actual
362F,47,48,66,54.572,False,"[[567.36, 479.4], [567.396, 479.599], [567.432, 479.799], [567.468, 480.001], [567.504, 480.205], [567.54, 480.409], [567.576, 480.614], [567.612, 480.82], [567.648, 481.026], [567.684, 481.233], [567.72, 481.44], [567.756, 481.647], [567.792, 481.854], [567.828, 482.06], [567.864, 482.266], [567.9, 482.471], [567.936, 482.676], [567.972, 482.879], [568.008, 483.081], [568.044, 483.281], [568.08, 483.48], [597.0, 505.68], [604.08, 507.48], [604.153, 507.156], [604.227, 506.832], [604.303, 506.508], [604.38, 506.184], [604.459, 505.86], [604.538, 505.536], [604.618, 505.212], [604.698, 504.888], [604.779, 504.564], [604.86, 504.24], [604.941, 503.916], [605.022, 503.592], [605.102, 503.268], [605.182, 502.944], [605.261, 502.62], [605.34, 502.296], [605.417, 501.972], [605.493, 501.648], [605.567, 501.324], [605.64, 501.0]]",actual
362J,47,49,66,45.129,False,"[[573.96, 471.48], [581.52, 471.36], [581.852, 471.096], [582.167, 470.809], [582.467, 470.498], [582.755, 470.162], [583.031, 469.802], [583.3, 469.417], [583.563, 469.007], [583.822, 468.572], [584.08, 468.112], [584.34, 467.625], [584.603, 467.112], [584.872, 466.573], [585.15, 466.008], [585.438, 465.415], [585.739, 464.796], [586.055, 464.148], [586.389, 463.474], [586.743, 462.771], [587.119, 462.04], [587.52, 461.28], [586.8, 453.0], [594.84, 445.92], [594.858, 445.579], [594.876, 445.239], [594.894, 444.901], [594.911, 444.565], [594.928, 444.229], [594.945, 443.894], [594.961, 443.56], [594.976, 443.226], [594.991, 442.893], [595.005, 442.56], [595.018, 442.227], [595.03, 441.894], [595.041, 441.56], [595.051, 441.226], [595.059, 440.891], [595.067, 440.556], [595.072, 440.219], [595.077, 439.881], [595.079, 439.541], [595.08, 439.2]]",actual
L0039,47,74,66,160.055,False,"[[476.16, 371.16], [476.196, 372.907], [476.232, 374.655], [476.268, 376.405], [476.304, 378.156], [476.34, 379.909], [476.376, 381.662], [476.412, 383.416], [476.448, 385.17], [476.484, 386.925], [476.52, 388.68], [476.556, 390.435], [476.592, 392.19], [476.628, 393.944], [476.664, 395.698], [476.7, 397.451], [476.736, 399.204], [476.772, 400.955], [476.808, 402.705], [476.844, 404.453], [476.88, 406.2], [494.64, 441.0], [505.08, 449.04], [521.52, 453.6], [531.12, 459.6], [540.72, 468.48], [547.32, 473.04], [560.88, 480.6], [568.08, 477.72]]",actual
3605,48,98,66,46.222,False,"[[608.88, 501.24], [608.872, 501.605], [608.85, 501.98], [608.815, 502.364], [608.769, 502.755], [608.713, 503.153], [608.65, 503.556], [608.581, 503.963], [608.508, 504.373], [608.432, 504.786], [608.355, 505.2], [608.279, 505.614], [608.206, 506.027], [608.137, 506.437], [608.074, 506.844], [608.019, 507.248], [607.974, 507.645], [607.939, 508.036], [607.918, 508.42], [607.911, 508.795], [607.92, 509.16], [610.44, 522.12], [610.08, 531.72], [605.04, 540.48], [605.64, 545.76]]",actual
362H,50,51,66,19.648,False,"[[566.04, 504.12], [566.04, 498.84], [578.64, 492.72], [578.28, 492.72]]",actual
362G,52,53,66,43.832,False,"[[644.04, 491.28], [644.021, 491.586], [644.001, 491.892], [643.979, 492.198], [643.956, 492.503], [643.931, 492.808], [643.906, 493.113], [643.88, 493.417], [643.854, 493.72], [643.827, 494.023], [643.8, 494.325], [643.773, 494.626], [643.746, 494.926], [643.72, 495.225], [643.694, 495.523], [643.669, 495.819], [643.644, 496.115], [643.621, 496.408], [643.599, 496.701], [643.579, 496.991], [643.56, 497.28], [622.32, 509.04], [609.0, 511.44]]",actual
L0040,54,55,66,18.025,False,"[[622.2, 893.64], [607.68, 904.32]]",actual
312C,56,85,66,52.63,False,"[[658.2, 239.52], [662.52, 230.64], [655.8, 195.36], [657.6, 188.76]]",actual
L0041,56,232,66,25.563,False,"[[653.28, 238.92], [658.56, 239.88], [663.24, 257.64], [662.926, 259.443]]",actual
L0042,60,160,66,25.444,False,"[[230.52, 784.8], [217.32, 791.4], [206.64, 791.76]]",actual
L0043,60,181,66,12.369,False,"[[247.08, 779.76], [236.4, 773.52]]",actual
372B,60,182,66,21.894,False,"[[230.16, 784.68], [219.36, 781.92], [208.68, 780.72]]",actual
L0044,61,86,66,21.72,False,"[[277.08, 354.84], [298.8, 354.84]]",actual
