line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva
L0075,60,61,66,89.217,False,"[[421.2, 545.191], [424.92, 545.791], [432.0, 566.071], [440.16, 574.471], [454.2, 598.231], [466.92, 603.871], [470.64, 610.111], [470.64, 613.591]]",actual,15.1669,0.010446,0.133354,0.00181024,50.0
172B,61,150,66,15.84,False,"[[470.64, 612.391], [486.48, 612.391]]",actual,2.6928,0.001855,0.023676,0.0003214,50.0
L0076,62,63,66,33.69,False,"[[623.16, 543.871], [618.0, 542.911], [618.24, 533.791], [618.511, 533.809], [618.783, 533.827], [619.058, 533.845], [619.333, 533.863], [619.611, 533.881], [619.889, 533.899], [620.169, 533.917], [620.45, 533.935], [620.732, 533.953], [621.015, 533.971], [621.299, 533.989], [621.584, 534.007], [621.869, 534.025], [622.155, 534.043], [622.442, 534.061], [622.729, 534.079], [623.016, 534.097], [623.304, 534.115], [623.592, 534.133], [623.88, 534.151], [626.28, 532.831], [635.64, 538.471]]",actual,5.7273,0.003944,0.050357,0.00068358,50.0
1209,63,126,66,19.041,False,"[[633.48, 513.511], [636.96, 532.231]]",actual,3.237,0.002229,0.028461,0.00038635,50.0
L0077,64,67,66,23.247,False,"[[616.56, 764.431], [621.96, 769.471], [628.08, 764.311], [625.56, 756.871]]",actual,3.952,0.002722,0.034748,0.00047169,50.0
L0078,65,67,66,11.704,False,"[[636.12, 763.231], [639.24, 774.511]]",actual,1.9897,0.00137,0.017494,0.00023748,50.0
L0079,67,90,66,39.569,False,"[[635.64, 756.151], [660.12, 733.591], [665.76, 736.351]]",actual,6.7267,0.004633,0.059145,0.00080286,50.0
L0080,68,69,66,28.819,False,"[[717.0, 321.391], [703.92, 347.071]]",actual,4.8992,0.003374,0.043076,0.00058474,50.0
L0081,69,70,66,90.103,False,"[[701.76, 348.151], [705.48, 358.831], [716.16, 375.751], [719.88, 382.111], [721.08, 391.231], [725.16, 397.111], [725.76, 406.231], [728.76, 411.271], [729.193, 411.397], [729.627, 411.523], [730.063, 411.649], [730.5, 411.774], [730.939, 411.899], [731.378, 412.024], [731.818, 412.148], [732.258, 412.272], [732.699, 412.394], [733.14, 412.516], [733.581, 412.637], [734.022, 412.757], [734.462, 412.876], [734.902, 412.994], [735.341, 413.111], [735.779, 413.226], [736.217, 413.339], [736.653, 413.452], [737.087, 413.562], [737.52, 413.671], [738.059, 413.797], [738.597, 413.923], [739.133, 414.049], [739.667, 414.175], [740.201, 414.301], [740.734, 414.427], [741.266, 414.553], [741.798, 414.679], [742.329, 414.805], [742.86, 414.931], [743.391, 415.057], [743.922, 415.183], [744.454, 415.309], [744.986, 415.435], [745.519, 415.561], [746.052, 415.687], [746.587, 415.813], [747.123, 415.939], [747.661, 416.065], [748.2, 416.191]]",actual,15.3175,0.010549,0.134679,0.00182821,50.0
L0082,69,119,66,16.249,False,"[[703.92, 348.511], [716.04, 352.471], [717.36, 355.711]]",actual,2.7623,0.001902,0.024288,0.0003297,50.0
L0083,69,120,66,10.704,False,"[[699.0, 348.511], [688.92, 352.111]]",actual,1.8197,0.001253,0.015999,0.00021719,50.0
L0084,70,73,66,39.394,False,"[[748.32, 418.591], [746.4, 422.791], [752.28, 424.231], [756.24, 417.151], [754.32, 396.631]]",actual,6.697,0.004612,0.058883,0.00079931,50.0
L0085,71,72,66,13.925,False,"[[648.48, 1037.552], [658.68, 1047.032]]",actual,2.3673,0.00163,0.020814,0.00028254,50.0
L0086,71,88,66,93.434,False,"[[579.24, 1050.032], [582.84, 1040.312], [586.44, 1036.832], [588.84, 1024.472], [589.578, 1024.454], [590.316, 1024.436], [591.054, 1024.418], [591.792, 1024.4], [592.53, 1024.382], [593.268, 1024.364], [594.006, 1024.346], [594.744, 1024.328], [595.482, 1024.31], [596.22, 1024.292], [596.958, 1024.274], [597.696, 1024.256], [598.434, 1024.238], [599.172, 1024.22], [599.91, 1024.202], [600.648, 1024.184], [601.386, 1024.166], [602.124, 1024.148], [602.862, 1024.13], [603.6, 1024.112], [611.16, 1022.672], [615.6, 1023.392], [642.84, 1040.912], [647.88, 1037.432]]",actual,15.8838,0.010939,0.139658,0.0018958,50.0
L0087,71,89,66,12.646,False,"[[646.44, 1036.352], [642.12, 1031.792], [641.88, 1025.432]]",actual,2.1498,0.001481,0.018902,0.00025659,50.0
L0088,74,75,66,10.764,False,"[[492.36, 800.431], [492.868, 800.472], [493.385, 800.52], [493.908, 800.576], [494.438, 800.638], [494.974, 800.705], [495.514, 800.777], [496.057, 800.852], [496.603, 800.93], [497.151, 801.01], [497.7, 801.091], [498.249, 801.172], [498.797, 801.252], [499.343, 801.33], [499.886, 801.406], [500.426, 801.477], [500.962, 801.545], [501.492, 801.607], [502.015, 801.662], [502.532, 801.711], [503.04, 801.751]]",actual,1.8299,0.00126,0.016089,0.0002184,50.0
L0089,74,101,66,34.672,False,"[[481.68, 797.431], [477.96, 799.111], [466.08, 799.951], [461.28, 804.031], [448.92, 804.751]]",actual,5.8942,0.004059,0.051825,0.0007035,50.0
L0090,75,84,66,14.88,False,"[[504.0, 816.871], [504.0, 816.194], [504.0, 815.496], [504.0, 814.778], [504.0, 814.045], [504.0, 813.297], [504.0, 812.538], [504.0, 811.77], [504.0, 810.994], [504.0, 810.214], [504.0, 809.431], [504.0, 808.649], [504.0, 807.868], [504.0, 807.093], [504.0, 806.324], [504.0, 805.565], [504.0, 804.817], [504.0, 804.084], [504.0, 803.367], [504.0, 802.669], [504.0, 801.991]]",actual,2.5296,0.001742,0.022241,0.00030192,50.0
L0091,75,86,66,38.29,False,"[[506.64, 802.831], [514.08, 840.391]]",actual,6.5093,0.004483,0.057233,0.00077691,50.0
