line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0057,43,44,66,16.765,False,"[[495.0, 772.08], [501.12, 772.08], [504.0, 776.52], [503.941, 776.71], [503.872, 776.92], [503.794, 777.147], [503.709, 777.39], [503.617, 777.645], [503.52, 777.911], [503.419, 778.186], [503.315, 778.467], [503.208, 778.752], [503.1, 779.04], [502.992, 779.328], [502.885, 779.613], [502.781, 779.894], [502.68, 780.169], [502.582, 780.435], [502.491, 780.69], [502.406, 780.933], [502.328, 781.16], [502.259, 781.37], [502.2, 781.56]]",actual
L0058,44,45,66,62.61,False,"[[504.24, 771.72], [523.8, 771.12], [529.32, 769.44], [558.24, 769.08], [566.16, 766.44]]",actual
L0059,46,47,66,85.336,False,"[[247.92, 1026.601], [247.92, 1037.881], [233.52, 1058.521], [229.32, 1072.681], [207.24, 1091.161], [205.2, 1096.081]]",actual
L0060,46,48,66,37.018,False,"[[235.08, 1059.001], [249.6, 1038.481], [249.6, 1026.601]]",actual
L0061,46,50,66,101.778,False,"[[260.16, 938.4], [263.04, 960.241], [252.6, 980.161], [246.12, 984.841], [239.04, 994.081], [237.72, 1012.681], [241.56, 1017.121], [247.44, 1021.321], [247.439, 1021.61], [247.437, 1021.9], [247.433, 1022.192], [247.428, 1022.485], [247.421, 1022.78], [247.414, 1023.075], [247.406, 1023.371], [247.398, 1023.667], [247.389, 1023.964], [247.38, 1024.261], [247.371, 1024.558], [247.362, 1024.855], [247.354, 1025.151], [247.346, 1025.447], [247.339, 1025.742], [247.332, 1026.036], [247.327, 1026.33], [247.323, 1026.622], [247.321, 1026.912], [247.32, 1027.201]]",actual
L0062,46,50,66,64.379,False,"[[258.6, 943.08], [260.64, 960.601], [251.76, 974.521], [243.12, 979.921], [236.76, 978.121], [234.84, 972.961], [239.04, 966.241]]",actual
L0063,46,50,66,91.941,False,"[[262.32, 940.44], [265.44, 960.481], [250.08, 991.201], [249.0, 1004.281], [250.92, 1015.561], [249.0, 1028.161]]",actual
L0064,46,49,66,24.321,False,"[[237.12, 965.641], [224.28, 963.361], [224.28, 952.081]]",actual
L0065,47,256,33,11.88,False,"[[192.96, 1096.441], [204.84, 1096.441]]",actual
L0066,48,79,66,10.946,False,"[[224.88, 1090.921], [233.52, 1097.641]]",actual
L0067,48,80,66,16.958,False,"[[237.72, 1073.401], [238.142, 1073.57], [238.679, 1073.786], [239.318, 1074.044], [240.046, 1074.339], [240.851, 1074.665], [241.72, 1075.017], [242.641, 1075.389], [243.599, 1075.778], [244.583, 1076.177], [245.58, 1076.581], [246.577, 1076.985], [247.561, 1077.384], [248.519, 1077.773], [249.44, 1078.145], [250.309, 1078.497], [251.114, 1078.823], [251.842, 1079.118], [252.481, 1079.376], [253.018, 1079.592], [253.44, 1079.761]]",actual
L0068,48,81,66,16.946,False,"[[237.72, 1056.841], [238.92, 1056.841], [244.56, 1049.641], [251.16, 1049.641]]",actual
L0069,48,81,66,11.046,False,"[[240.6, 1054.921], [251.16, 1058.161]]",actual
L0070,49,50,66,36.333,False,"[[225.36, 951.361], [241.32, 942.0], [252.24, 942.72], [258.6, 940.08]]",actual
L0071,49,51,66,35.85,False,"[[194.64, 969.841], [225.36, 951.361]]",actual
L0072,50,62,66,35.134,False,"[[262.44, 936.12], [270.48, 927.36], [270.692, 926.923], [270.898, 926.476], [271.098, 926.02], [271.293, 925.556], [271.483, 925.086], [271.669, 924.609], [271.852, 924.128], [272.031, 923.643], [272.209, 923.155], [272.385, 922.665], [272.56, 922.174], [272.735, 921.684], [272.91, 921.194], [273.087, 920.706], [273.264, 920.222], [273.444, 919.741], [273.627, 919.266], [273.814, 918.797], [274.005, 918.334], [274.2, 917.88], [274.218, 917.645], [274.236, 917.409], [274.254, 917.17], [274.272, 916.931], [274.29, 916.689], [274.308, 916.447], [274.326, 916.203], [274.344, 915.958], [274.362, 915.712], [274.38, 915.465], [274.398, 915.217], [274.416, 914.968], [274.434, 914.719], [274.452, 914.469], [274.47, 914.218], [274.488, 913.967], [274.506, 913.716], [274.524, 913.464], [274.542, 913.212], [274.56, 912.96], [277.56, 909.36], [276.84, 906.0]]",actual
L0073,50,76,66,16.8,False,"[[236.28, 940.08], [253.08, 940.08]]",actual
L0074,50,77,66,17.268,False,"[[258.72, 943.08], [260.64, 960.241]]",actual
L0075,50,73,66,47.034,False,"[[273.12, 924.6], [275.4, 926.16], [275.472, 926.303], [275.544, 926.445], [275.616, 926.585], [275.688, 926.724], [275.76, 926.861], [275.832, 926.998], [275.904, 927.134], [275.976, 927.27], [276.048, 927.405], [276.12, 927.54], [276.192, 927.675], [276.264, 927.81], [276.336, 927.946], [276.408, 928.082], [276.48, 928.219], [276.552, 928.356], [276.624, 928.495], [276.696, 928.635], [276.768, 928.777], [276.84, 928.92], [282.6, 938.52], [301.68, 942.72], [311.88, 940.56]]",actual
L0076,51,52,66,32.308,False,"[[163.92, 967.921], [168.36, 971.881], [194.64, 969.841]]",actual
L0077,51,112,66,27.601,False,"[[192.36, 969.601], [192.36, 942.0]]",actual
L0078,52,63,66,45.657,False,"[[131.28, 996.721], [135.96, 997.441], [162.72, 974.641], [163.92, 969.001]]",actual
761D,55,106,66,49.793,False,"[[574.56, 553.32], [578.64, 550.08], [582.84, 555.96], [583.56, 559.92], [577.08, 585.36], [577.08, 585.719], [577.08, 586.077], [577.08, 586.433], [577.08, 586.788], [577.08, 587.141], [577.08, 587.494], [577.08, 587.846], [577.08, 588.198], [577.08, 588.549], [577.08, 588.9], [577.08, 589.251], [577.08, 589.602], [577.08, 589.954], [577.08, 590.306], [577.08, 590.659], [577.08, 591.012], [577.08, 591.367], [577.08, 591.723], [577.08, 592.081], [577.08, 592.44]]",actual
L0079,56,57,66,21.536,False,"[[435.6, 645.0], [442.92, 645.0], [448.44, 646.56], [452.28, 639.0]]",actual
L0080,59,60,66,22.557,False,"[[432.36, 1073.161], [441.24, 1077.961], [449.04, 1087.681]]",actual
L0081,59,82,66,26.537,False,"[[425.04, 1071.481], [449.28, 1060.681]]",actual
L0082,61,75,66,13.927,False,"[[448.44, 999.361], [452.88, 986.161]]",actual
