bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
66,557.4,424.26,2,substation_or_sw,開閉所,豊里,False,,PQ,0.0,0.0,0.0,0.0,1.0
67,279.96,311.46,2,generator,発電所,（341011）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
68,273.144,400.704,5,substation_or_sw,開閉所,宮城,False,,PQ,0.0,0.0,0.0,0.0,1.0
69,219.28,702.8,3,generator,発電所,（340705）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
70,353.64,854.85,4,substation_or_sw,開閉所,名取(開),False,,PQ,0.0,0.0,0.0,0.0,1.0
71,396.96,880.56,2,generator,発電所,玉浦,False,,PQ,0.0,0.0,5.0,2.4216,1.0
72,367.248,888.432,1,substation_or_sw,開閉所,岩沼,False,,PQ,0.0,0.0,0.0,0.0,1.0
73,369.48,905.76,1,generator,発電所,（340210,False,,PQ,0.0,0.0,5.0,2.4216,1.0
74,382.08,1018.981,2,substation_or_sw,開閉所,山元,False,,PQ,0.0,0.0,0.0,0.0,1.0
75,174.24,986.041,3,generator,発電所,（340312）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
76,130.68,1102.441,1,junction,,,True,W/S,PQ,0.0,0.0,0.0,0.0,1.0
77,101.4,986.341,2,generator,発電所,（340304）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
78,160.8,829.38,2,substation_or_sw,開閉所,川崎,False,,PQ,0.0,0.0,0.0,0.0,1.0
79,187.8,869.22,2,generator,発電所,（340203）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
80,472.89,467.25,2,substation_or_sw,開閉所,涌谷,False,,PQ,0.0,0.0,0.0,0.0,1.0
81,471.9,524.28,2,substation_or_sw,開閉所,鹿島台,False,,PQ,0.0,0.0,0.0,0.0,1.0
82,217.68,829.32,1,junction,,（340501）,False,,PQ,0.0,0.0,0.0,0.0,1.0
83,538.26,335.76,0,substation_or_sw,開閉所,佐沼,False,,PQ,0.0,0.0,0.0,0.0,1.0
84,205.989,941.674,5,substation_or_sw,開閉所,白石,False,,PQ,0.0,0.0,0.0,0.0,1.0
85,334.44,555.52,3,substation_or_sw,開閉所,吉岡,False,,PQ,0.0,0.0,0.0,0.0,1.0
86,305.1,575.7,2,substation_or_sw,開閉所,富谷,False,,PQ,0.0,0.0,0.0,0.0,1.0
87,318.36,601.68,1,junction,,成田,False,,PQ,0.0,0.0,0.0,0.0,1.0
88,372.756,554.784,6,substation_or_sw,開閉所,松坂,False,,PQ,0.0,0.0,0.0,0.0,1.0
89,544.46,527.62,6,substation_or_sw,開閉所,西石巻,False,,PQ,0.0,0.0,0.0,0.0,1.0
90,609.36,553.08,1,substation_or_sw,開閉所,陸前山下,False,,PQ,0.0,0.0,0.0,0.0,1.0
91,611.64,566.88,1,generator,発電所,（341205）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
92,278.22,298.98,2,junction,,（341011）,False,,PQ,0.0,0.0,0.0,0.0,1.0
93,283.86,255.24,2,generator,発電所,（341003）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
94,372.84,436.12,3,substation_or_sw,開閉所,古川,False,,PQ,0.0,0.0,0.0,0.0,1.0
95,424.84,349.84,3,substation_or_sw,開閉所,高清水,False,,PQ,0.0,0.0,0.0,0.0,1.0
96,282.48,451.32,1,substation_or_sw,開閉所,中新田,False,,PQ,0.0,0.0,0.0,0.0,1.0
97,360.36,949.92,1,substation_or_sw,開閉所,亘理,False,,PQ,0.0,0.0,0.0,0.0,1.0
98,230.16,957.241,1,junction,,（340315,False,,PQ,0.0,0.0,0.0,0.0,1.0
99,221.64,974.641,1,substation_or_sw,変電所,白石,False,,PQ,4.0,1.9373,0.0,0.0,1.0
100,176.64,951.481,1,generator,発電所,（340314）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
101,223.08,296.16,1,generator,発電所,（341024）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
102,634.6,544.44,3,substation_or_sw,開閉所,陸前山下,False,,PQ,0.0,0.0,0.0,0.0,1.0
103,702.06,548.16,2,substation_or_sw,開閉所,女川,False,,PQ,0.0,0.0,0.0,0.0,1.0
104,616.64,529.36,3,junction,,陸前山下,False,,PQ,0.0,0.0,0.0,0.0,1.0
105,434.76,628.92,1,generator,発電所,（340805）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
106,456.96,638.16,1,substation_or_sw,開閉所,新浜,False,,PQ,0.0,0.0,0.0,0.0,1.0
107,437.88,597.48,1,substation_or_sw,変電所,（340804）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
108,450.84,607.44,1,junction,,松島,False,,PQ,0.0,0.0,0.0,0.0,1.0
109,397.8,572.52,1,substation_or_sw,変電所,松坂,False,,PQ,4.0,1.9373,0.0,0.0,1.0
110,322.74,1068.061,2,generator,発電所,（340307）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
111,233.4,892.26,0,generator,発電所,（340206）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
112,297.9,914.82,2,substation_or_sw,変電所,船岡,False,,PQ,4.0,1.9373,0.0,0.0,1.0
113,306.0,924.6,1,substation_or_sw,変電所,船岡,False,,PQ,4.0,1.9373,0.0,0.0,1.0
114,546.36,481.92,1,junction,,（341208）,False,,PQ,0.0,0.0,0.0,0.0,1.0
115,616.62,483.24,2,substation_or_sw,開閉所,飯野川,False,,PQ,0.0,0.0,0.0,0.0,1.0
116,355.74,360.48,2,substation_or_sw,変電所,（341019）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
117,381.48,366.48,2,junction,,（341019）,False,,PQ,0.0,0.0,0.0,0.0,1.0
118,396.84,371.28,1,junction,,高清水,False,,PQ,0.0,0.0,0.0,0.0,1.0
119,385.8,218.22,2,substation_or_sw,1次変電所,岩ヶ崎,False,,PQ,0.0,0.0,0.0,0.0,1.0
120,412.8,303.6,1,junction,,築館,False,,PQ,0.0,0.0,0.0,0.0,1.0
121,388.98,251.94,2,generator,発電所,（341004）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
122,321.6,894.72,1,substation_or_sw,変電所,船岡,False,,PQ,4.0,1.9373,0.0,0.0,1.0
123,229.8,438.0,2,substation_or_sw,1次変電所,宮崎,False,,PQ,0.0,0.0,0.0,0.0,1.0
124,217.52,439.0,3,substation_or_sw,1次変電所,宮崎,False,,PQ,0.0,0.0,0.0,0.0,1.0
125,361.36,920.04,1,substation_or_sw,変電所,（340210,False,,PQ,4.0,1.9373,0.0,0.0,1.0
126,357.24,933.6,1,substation_or_sw,変電所,亘理,False,,PQ,4.0,1.9373,0.0,0.0,1.0
127,331.74,935.4,0,substation_or_sw,変電所,船岡,False,,PQ,4.0,1.9373,0.0,0.0,1.0
128,437.88,342.96,1,generator,発電所,（341012）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
129,200.04,253.2,1,substation_or_sw,開閉所,鬼首,False,,PQ,0.0,0.0,0.0,0.0,1.0
130,227.04,260.28,1,junction,,（341014）,False,,PQ,0.0,0.0,0.0,0.0,1.0
131,316.848,247.764,2,generator,発電所,（341017）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
132,662.64,466.44,1,substation_or_sw,開閉所,釜谷,False,,PQ,0.0,0.0,0.0,0.0,1.0
133,531.72,533.52,1,junction,,西石巻,False,,PQ,0.0,0.0,0.0,0.0,1.0
134,479.16,545.76,1,substation_or_sw,変電所,鹿島台,False,,PQ,4.0,1.9373,0.0,0.0,1.0
135,484.68,535.32,1,junction,,鹿島台,False,,PQ,0.0,0.0,0.0,0.0,1.0
136,504.72,564.72,1,junction,,（341206）,False,,PQ,0.0,0.0,0.0,0.0,1.0
137,515.76,584.28,1,substation_or_sw,開閉所,小野,False,,PQ,0.0,0.0,0.0,0.0,1.0
138,487.32,601.2,1,substation_or_sw,変電所,松島,False,,PQ,4.0,1.9373,0.0,0.0,1.0
139,401.58,689.7,2,substation_or_sw,1次変電所,大日,False,,PQ,0.0,0.0,0.0,0.0,1.0
140,378.72,630.24,2,substation_or_sw,変電所,利府,False,,PQ,4.0,1.9373,0.0,0.0,1.0
141,387.96,616.32,1,substation_or_sw,開閉所,利府,False,,PQ,0.0,0.0,0.0,0.0,1.0
142,451.68,426.24,1,substation_or_sw,変電所,小牛田,False,,PQ,4.0,1.9373,0.0,0.0,1.0
143,393.48,424.44,1,substation_or_sw,開閉所,北古川,False,,PQ,0.0,0.0,0.0,0.0,1.0
144,348.6,462.24,1,junction,,陸前大幡,False,,PQ,0.0,0.0,0.0,0.0,1.0
145,370.44,479.88,1,substation_or_sw,変電所,（341104,False,,PQ,4.0,1.9373,0.0,0.0,1.0
146,632.52,560.76,1,substation_or_sw,開閉所,石巻湊,False,,PQ,0.0,0.0,0.0,0.0,1.0
147,649.96,540.76,1,generator,発電所,（341211）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
148,648.96,556.68,1,substation_or_sw,開閉所,渡波,False,,PQ,0.0,0.0,0.0,0.0,1.0
149,371.265,829.68,2,substation_or_sw,開閉所,増田,False,,PQ,0.0,0.0,0.0,0.0,1.0
150,372.48,848.16,1,substation_or_sw,開閉所,増田,False,,PQ,0.0,0.0,0.0,0.0,1.0
151,176.76,680.16,1,generator,発電所,（340704）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
152,260.52,884.76,0,substation_or_sw,変電所,沼辺,False,,PQ,4.0,1.9373,0.0,0.0,1.0
153,311.64,967.741,0,substation_or_sw,変電所,角田,False,,PQ,4.0,1.9373,0.0,0.0,1.0
154,335.04,948.96,1,substation_or_sw,変電所,（340201）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
155,491.16,304.44,1,substation_or_sw,開閉所,南二又,False,,PQ,0.0,0.0,0.0,0.0,1.0
156,475.56,320.4,1,substation_or_sw,変電所,（341001）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
157,289.68,547.2,1,substation_or_sw,変電所,（341109）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
158,421.8,332.4,1,junction,,高清水,False,,PQ,0.0,0.0,0.0,0.0,1.0
159,470.4,365.16,1,substation_or_sw,変電所,（341001）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
160,385.44,879.48,1,junction,,岩沼,False,,PQ,0.0,0.0,0.0,0.0,1.0
161,615.84,514.56,1,substation_or_sw,変電所,蛇田,False,,PQ,4.0,1.9373,0.0,0.0,1.0
162,748.56,654.0,1,substation_or_sw,開閉所,鮎川,False,,PQ,0.0,0.0,0.0,0.0,1.0
163,711.72,582.96,1,junction,,女川,False,,PQ,0.0,0.0,0.0,0.0,1.0
164,736.32,568.2,1,substation_or_sw,変電所,女川,False,,PQ,4.0,1.9373,0.0,0.0,1.0
165,738.96,635.64,1,junction,,（341201）,False,,PQ,0.0,0.0,0.0,0.0,1.0
166,751.2,636.0,1,generator,発電所,（341201）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
167,632.16,491.28,1,junction,,飯野川,False,,PQ,0.0,0.0,0.0,0.0,1.0
168,642.0,495.84,1,generator,発電所,（341202）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
169,427.89,321.36,0,generator,発電所,築館,False,,PQ,0.0,0.0,5.0,2.4216,1.0
170,406.8,246.84,1,junction,,（341004）,False,,PQ,0.0,0.0,0.0,0.0,1.0
171,406.8,259.08,1,generator,発電所,（341008）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
172,275.64,339.9,0,generator,発電所,（341010）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
173,348.48,493.08,1,substation_or_sw,変電所,（341103）（341102）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
174,338.64,491.28,1,substation_or_sw,変電所,（341103）（341102）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
175,330.96,565.2,1,substation_or_sw,開閉所,吉岡,False,,PQ,0.0,0.0,0.0,0.0,1.0
176,318.0,565.2,1,generator,発電所,吉岡,False,,PQ,0.0,0.0,5.0,2.4216,1.0
177,370.2,991.921,1,junction,,（340201）,False,,PQ,0.0,0.0,0.0,0.0,1.0
178,393.84,991.921,1,generator,発電所,（340205）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
179,257.28,921.56,1,generator,発電所,（340310）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
180,223.68,912.96,1,substation_or_sw,開閉所,（340202）,False,,PQ,0.0,0.0,0.0,0.0,1.0
181,241.98,917.55,0,generator,発電所,（340310）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
182,223.2,947.04,1,generator,発電所,（340315,False,,PQ,0.0,0.0,5.0,2.4216,1.0
183,185.88,938.88,1,generator,発電所,（340314）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
184,168.6,963.481,1,generator,発電所,（340313）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
185,178.92,968.041,1,junction,,（340312）,False,,PQ,0.0,0.0,0.0,0.0,1.0
186,292.14,593.52,0,substation_or_sw,変電所,大富,False,,PQ,4.0,1.9373,0.0,0.0,1.0
187,376.44,567.96,1,substation_or_sw,変電所,松坂,False,,PQ,4.0,1.9373,0.0,0.0,1.0
188,114.04,993.081,1,generator,発電所,（340303,False,,PQ,0.0,0.0,5.0,2.4216,1.0
189,186.84,684.96,0,generator,発電所,（340703）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
190,450.84,580.2,1,generator,発電所,（340803）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
191,444.72,588.6,1,substation_or_sw,開閉所,（340803）,False,,PQ,0.0,0.0,0.0,0.0,1.0
192,640.08,260.28,0,generator,発電所,（341203）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
193,105.0,1008.841,1,generator,発電所,（340302）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
194,413.16,511.32,1,generator,発電所,（341107）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
195,371.88,506.16,1,generator,発電所,（341103）（341102）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
196,164.94,847.26,0,generator,発電所,川崎,False,,PQ,0.0,0.0,5.0,2.4216,1.0
197,366.6,539.16,1,generator,発電所,（341108）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
198,377.76,539.64,1,junction,,（341108）,False,,PQ,0.0,0.0,0.0,0.0,1.0
199,419.28,249.96,0,generator,発電所,（341004）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
200,388.56,490.08,1,generator,発電所,（341104,False,,PQ,0.0,0.0,5.0,2.4216,1.0
201,687.18,223.74,0,generator,発電所,（341302）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
202,541.92,455.94,0,generator,発電所,（341208）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
203,330.03,791.91,2,substation_or_sw,開閉所,鍋田,False,,PQ,0.0,0.0,0.0,0.0,1.0
204,335.25,815.85,4,junction,,鍋田,False,,PQ,0.0,0.0,0.0,0.0,1.0
205,431.304,735.18,2,substation_or_sw,開閉所,福田町,False,,PQ,0.0,0.0,0.0,0.0,1.0
