line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0055,29,30,66,89.68,False,"[[203.76, 956.401], [197.04, 948.96], [204.96, 941.4], [213.24, 948.0], [222.12, 951.481], [230.28, 957.241], [240.6, 949.56], [248.64, 945.48], [249.092, 946.197], [249.547, 946.91], [250.005, 947.618], [250.465, 948.322], [250.927, 949.022], [251.392, 949.719], [251.858, 950.414], [252.324, 951.106], [252.792, 951.796], [253.26, 952.485], [253.728, 953.174], [254.196, 953.861], [254.662, 954.549], [255.128, 955.237], [255.592, 955.926], [256.055, 956.617], [256.515, 957.309], [256.973, 958.004], [257.428, 958.701], [257.88, 959.401]]",actual,8.968,0.006176,0.078851,0.00107037,50.0,
433A,30,57,66,151.87,False,"[[258.72, 957.601], [272.76, 979.801], [281.64, 1009.081], [284.4, 1013.761], [273.84, 1037.161], [286.56, 1054.201], [288.12, 1066.921], [308.4, 1067.641], [309.36, 1058.161]]",actual,15.187,0.010459,0.133531,0.00181264,50.0,
424K,31,32,66,35.675,False,"[[309.0, 955.681], [313.92, 955.201], [321.6, 956.521], [325.08, 959.281], [325.08, 965.281], [329.76, 965.401], [329.795, 965.78], [329.829, 966.16], [329.86, 966.543], [329.891, 966.926], [329.919, 967.312], [329.947, 967.698], [329.973, 968.086], [329.998, 968.475], [330.022, 968.865], [330.045, 969.256], [330.067, 969.648], [330.088, 970.041], [330.109, 970.434], [330.129, 970.828], [330.148, 971.223], [330.167, 971.618], [330.186, 972.013], [330.204, 972.409], [330.222, 972.805], [330.24, 973.201]]",actual,3.5675,0.002457,0.031367,0.0004258,50.0,
L0056,32,154,66,19.463,False,"[[335.04, 948.96], [339.36, 953.521], [339.36, 961.081], [333.96, 962.641]]",actual,1.9463,0.00134,0.017113,0.0002323,50.0,
425A,33,73,66,66.854,False,"[[331.8, 869.04], [331.783, 869.309], [331.767, 869.577], [331.753, 869.842], [331.74, 870.107], [331.729, 870.369], [331.718, 870.631], [331.708, 870.891], [331.698, 871.15], [331.689, 871.408], [331.68, 871.665], [331.671, 871.921], [331.662, 872.176], [331.652, 872.431], [331.642, 872.685], [331.631, 872.938], [331.62, 873.191], [331.607, 873.444], [331.593, 873.696], [331.577, 873.948], [331.56, 874.2], [326.52, 881.16], [355.32, 888.48], [356.88, 895.32], [369.48, 905.76]]",actual,6.6854,0.004604,0.058781,0.00079793,50.0,
L0057,33,70,66,32.637,False,"[[354.24, 853.8], [344.28, 868.2], [343.71, 868.197], [343.082, 868.187], [342.404, 868.171], [341.682, 868.15], [340.922, 868.125], [340.13, 868.096], [339.312, 868.065], [338.474, 868.031], [337.623, 867.996], [336.765, 867.96], [335.906, 867.924], [335.052, 867.889], [334.21, 867.855], [333.386, 867.824], [332.586, 867.795], [331.815, 867.77], [331.081, 867.749], [330.39, 867.733], [329.748, 867.723], [329.16, 867.72]]",actual,3.2637,0.002248,0.028696,0.00038954,50.0,
424B,33,59,66,52.491,False,"[[324.96, 869.4], [312.24, 882.0], [302.04, 892.32], [306.12, 901.2], [315.36, 905.76]]",actual,5.2491,0.003615,0.046153,0.0006265,50.0,
482H,34,35,66,100.644,False,"[[468.36, 585.72], [463.8, 579.24], [459.84, 582.24], [453.0, 594.72], [452.928, 595.315], [452.856, 595.911], [452.784, 596.509], [452.712, 597.108], [452.64, 597.709], [452.568, 598.31], [452.496, 598.912], [452.424, 599.514], [452.352, 600.117], [452.28, 600.72], [452.208, 601.323], [452.136, 601.926], [452.064, 602.528], [451.992, 603.13], [451.92, 603.731], [451.848, 604.332], [451.776, 604.931], [451.704, 605.529], [451.632, 606.125], [451.56, 606.72], [438.96, 625.56], [429.84, 630.72], [423.48, 641.28], [423.498, 642.073], [423.516, 642.867], [423.534, 643.663], [423.552, 644.46], [423.57, 645.259], [423.588, 646.058], [423.606, 646.858], [423.624, 647.658], [423.642, 648.459], [423.66, 649.26], [423.678, 650.061], [423.696, 650.862], [423.714, 651.662], [423.732, 652.462], [423.75, 653.261], [423.768, 654.06], [423.786, 654.857], [423.804, 655.653], [423.822, 656.447], [423.84, 657.24]]",actual,10.0644,0.006931,0.088491,0.00120123,50.0,
L0058,34,89,66,105.427,False,"[[471.6, 584.4], [468.36, 576.72], [487.08, 569.16], [502.8, 566.76], [526.08, 543.84], [531.6, 538.32], [531.6, 529.68], [543.24, 527.28]]",actual,10.5427,0.007261,0.092696,0.00125832,50.0,
L0059,35,205,66,92.96,False,"[[422.88, 658.44], [412.08, 681.6], [401.76, 689.88], [402.48, 700.32], [403.8, 710.64], [408.36, 714.72], [418.92, 720.84], [421.8, 721.68], [423.36, 733.56]]",actual,9.296,0.006402,0.081735,0.00110952,50.0,
